Date,Open,High,Low,Close,Volume,Market Cap,Mean
"Feb 20, 2018",8.1,8.49,7.94,8.03,"4,60,87,500","81,00,38,000",8.14
"Feb 19, 2018",7.54,8.15,7.44,8.1,"3,78,13,100","75,37,33,000",7.8075
"Feb 18, 2018",7.84,8.09,7.13,7.54,"4,00,81,300","78,40,44,000",7.65
"Feb 17, 2018",7.88,7.96,7.63,7.84,"3,44,58,200","78,83,32,000",7.8275
"Feb 16, 2018",8,8.36,7.49,7.9,"4,41,43,700","80,00,93,000",7.9375
"Feb 15, 2018",6.42,8.07,6.38,8.07,"6,16,70,200","64,19,92,000",7.235
"Feb 14, 2018",5.59,6.44,5.58,6.42,"2,00,68,500","55,89,52,000",6.0075
"Feb 13, 2018",5.74,5.76,5.4,5.6,"1,70,30,400","57,42,98,000",5.625
"Feb 12, 2018",5.49,5.89,5.49,5.72,"2,01,67,600","54,86,02,000",5.6475
"Feb 11, 2018",5.72,5.72,5.01,5.45,"2,15,99,600","57,18,65,000",5.475
"Feb 10, 2018",6.06,6.32,5.47,5.72,"2,95,52,400","60,61,51,000",5.8925
"Feb 09, 2018",5.6,6.09,5.3,6.04,"2,43,32,800","55,97,84,000",5.7575
"Feb 08, 2018",4.92,6,4.92,5.58,"3,15,67,200","49,24,56,000",5.355
"Feb 07, 2018",5.01,5.66,4.59,4.97,"1,61,35,000","50,10,33,000",5.0575
"Feb 06, 2018",4.54,5.15,3.66,5.06,"2,02,48,500","45,38,88,000",4.6025
"Feb 05, 2018",5.71,5.95,4.36,4.54,"2,23,95,200","57,10,19,000",5.14
"Feb 04, 2018",6.64,6.75,5.57,5.74,"2,57,65,100","66,37,52,000",6.175
"Feb 03, 2018",6.21,6.85,5.74,6.63,"2,30,23,200","62,11,54,000",6.3575
"Feb 02, 2018",6.65,6.65,5.35,6.2,"2,67,26,300","66,45,36,000",6.2125
"Feb 01, 2018",7.7,7.79,6.35,6.67,"2,77,74,000","76,98,64,000",7.1275
"Jan 31, 2018",7.63,7.93,7.24,7.68,"2,75,35,700","76,27,09,000",7.62
"Jan 30, 2018",8.71,8.78,7.52,7.61,"2,90,51,000","87,09,74,000",8.155
"Jan 29, 2018",9.19,9.3,8.54,8.71,"3,35,54,900","91,87,18,000",8.935
"Jan 28, 2018",9.17,9.53,9.02,9.2,"3,45,27,300","91,66,26,000",9.23
"Jan 27, 2018",8.95,9.46,8.86,9.11,"3,95,28,900","89,49,06,000",9.095
"Jan 26, 2018",9.04,9.36,8.32,8.96,"3,47,96,200","90,39,52,000",8.92
"Jan 25, 2018",8.92,9.23,8.72,9.06,"3,83,46,500","89,19,93,000",8.9825
"Jan 24, 2018",8.2,8.94,7.97,8.81,"4,59,27,300","81,96,66,000",8.48
"Jan 23, 2018",8.28,8.57,7.73,8.2,"3,74,18,900","82,82,37,000",8.195
"Jan 22, 2018",8.38,8.65,7.59,8.3,"3,06,57,000","83,82,33,000",8.23
"Jan 21, 2018",9.65,9.72,8.06,8.27,"3,64,59,600","96,48,61,000",8.925
"Jan 20, 2018",8.88,9.82,8.88,9.6,"5,18,92,200","88,82,59,000",9.295
"Jan 19, 2018",8.51,9.38,8.21,8.78,"4,52,79,300","85,08,97,000",8.72
"Jan 18, 2018",8.48,10.05,7.95,8.6,"3,52,28,000","84,75,72,000",8.77
"Jan 17, 2018",8.36,8.83,6.68,8.09,"8,66,32,300","83,56,24,000",7.99
"Jan 16, 2018",10.83,10.92,7.08,8.39,"4,23,25,600","1,08,34,60,000",9.305
"Jan 15, 2018",11.02,11.47,10.7,10.77,"4,72,09,300","1,10,24,30,000",10.99
"Jan 14, 2018",11.85,11.86,10.5,11.09,"4,66,11,100","1,18,45,20,000",11.325
"Jan 13, 2018",11.35,12.15,11.33,11.83,"4,20,00,200","1,13,47,20,000",11.665
"Jan 12, 2018",10.78,11.76,10.46,11.34,"4,33,42,800","1,07,83,30,000",11.085
"Jan 11, 2018",12.65,12.65,9.98,10.71,"4,62,40,500","1,26,52,40,000",11.4975
"Jan 10, 2018",13.04,13.04,11.41,12.74,"6,23,48,700","1,30,38,30,000",12.5575
"Jan 09, 2018",13.53,14.11,12.55,12.99,"6,29,59,200","1,35,33,00,000",13.295
"Jan 08, 2018",12.85,13.73,11.57,13.63,"7,21,90,300","1,28,47,70,000",12.945
"Jan 07, 2018",12.87,13.53,12.27,12.95,"5,62,40,800","1,28,74,00,000",12.905
"Jan 06, 2018",12.02,13.07,11.44,12.86,"5,97,38,700","1,20,19,00,000",12.3475
"Jan 05, 2018",12.45,13.25,11.77,12.06,"6,56,68,300","1,24,51,40,000",12.3825
"Jan 04, 2018",13.06,13.1,11.87,12.54,"6,53,43,400","1,30,64,10,000",12.6425
"Jan 03, 2018",13.32,13.73,12.55,12.99,"5,38,10,900","1,33,18,20,000",13.1475
"Jan 02, 2018",12.54,13.38,12.33,13.35,"6,11,36,300","1,25,36,40,000",12.9
"Jan 01, 2018",12.63,12.7,11.77,12.57,"4,33,02,300","1,26,26,00,000",12.4175
"Dec 31, 2017",11.7,12.8,11.54,12.6,"5,01,13,900","1,16,97,80,000",12.16
"Dec 30, 2017",13.64,13.79,10.95,11.81,"4,91,73,200","1,36,36,20,000",12.5475
"Dec 29, 2017",12.87,14.03,12.44,13.64,"6,49,26,900","1,28,67,50,000",13.245
"Dec 28, 2017",13.58,13.62,11.73,12.71,"4,82,73,000","1,35,83,00,000",12.91
"Dec 27, 2017",14.32,14.43,13.18,13.58,"5,43,43,300","1,43,21,60,000",13.8775
"Dec 26, 2017",14.31,15.15,13.68,14.2,"6,55,04,500","1,43,13,40,000",14.335
"Dec 25, 2017",13.93,14.46,13.13,14.28,"6,55,45,300","1,39,34,80,000",13.95
"Dec 24, 2017",14.47,14.54,12.25,13.81,"5,92,22,600","1,44,70,00,000",13.7675
"Dec 23, 2017",12.67,15.79,12.48,14.27,"8,84,01,100","1,26,70,50,000",13.8025
"Dec 22, 2017",16.14,16.42,9.82,12.52,"7,16,99,500","1,61,39,00,000",13.725
"Dec 21, 2017",15.29,16.53,14.54,16.03,"9,08,75,600","1,52,90,20,000",15.5975
"Dec 20, 2017",16.02,16.26,13.9,15.21,"8,19,05,700","1,60,23,10,000",15.3475
"Dec 19, 2017",15.63,18.07,14.51,15.89,"11,46,41,000","1,56,33,40,000",16.025
"Dec 18, 2017",13.63,15.72,13.09,15.61,"10,23,57,000","1,36,31,60,000",14.5125
"Dec 17, 2017",13.39,14.16,13.17,13.54,"6,43,76,200","1,33,92,00,000",13.565
"Dec 16, 2017",13.56,13.73,12.81,13.4,"6,93,11,000","1,35,55,30,000",13.375
"Dec 15, 2017",13.55,14.08,11.76,13.09,"9,53,57,500","1,35,46,20,000",13.12
"Dec 14, 2017",13.56,14.02,12.43,13.64,"5,50,02,000","1,35,55,60,000",13.4125
"Dec 13, 2017",15.23,15.62,13.5,13.65,"7,59,95,500","1,52,33,80,000",14.5
"Dec 12, 2017",11.23,15.2,10.89,14.86,"10,38,48,000","1,12,28,60,000",13.045
"Dec 11, 2017",9.73,11.33,9.65,11.22,"7,41,40,500","97,28,64,000",10.4825
"Dec 10, 2017",8.76,10.46,7.6,9.76,"5,73,36,900","87,55,85,000",9.145
"Dec 09, 2017",8.41,9.87,7.86,8.72,"4,73,94,900","84,12,12,000",8.715
"Dec 08, 2017",8.71,8.73,7.43,8.4,"4,57,81,100","87,14,06,000",8.3175
"Dec 07, 2017",8.52,9.5,8.01,8.52,"6,17,51,500","85,21,36,000",8.6375
"Dec 06, 2017",7.38,8.43,6.93,8.43,"5,20,74,900","73,83,47,000",7.7925
"Dec 05, 2017",6.69,7.68,6.62,7.43,"4,08,75,800","66,87,40,000",7.105
"Dec 04, 2017",6.21,6.69,6.03,6.69,"3,04,19,300","62,05,58,000",6.405
"Dec 03, 2017",6.09,6.6,5.84,6.2,"3,30,36,700","60,94,49,000",6.1825
"Dec 02, 2017",5.79,6.43,5.75,6.11,"3,03,25,700","57,93,54,000",6.02
"Dec 01, 2017",4.84,5.8,4.61,5.8,"2,60,90,100","48,39,39,000",5.2625
"Nov 30, 2017",5.23,5.33,4.39,4.88,"2,55,49,500","52,32,39,000",4.9575
